,title,subtitle,link
34,DOZEN LOOOK GOOD,Rooney reveals TWELVE blunders Southgate's made at Euros after poor start,https://www.thesun.co.uk/sport/28682804/wayne-rooney-gareth-southgate-england-euro-2024/
35,DOZEN LOOOK GOOD,Rooney reveals TWELVE blunders Southgate's made at Euros after poor start,https://www.thesun.co.uk/sport/28682804/wayne-rooney-gareth-southgate-england-euro-2024/
36,DOZEN LOOOK GOOD,Rooney reveals TWELVE blunders Southgate's made at Euros after poor start,https://www.thesun.co.uk/sport/28682804/wayne-rooney-gareth-southgate-england-euro-2024/
37,DOZEN LOOOK GOOD,Rooney reveals TWELVE blunders Southgate's made at Euros after poor start,https://www.thesun.co.uk/sport/28682804/wayne-rooney-gareth-southgate-england-euro-2024/
38,DOZEN LOOOK GOOD,Rooney reveals TWELVE blunders Southgate's made at Euros after poor start,https://www.thesun.co.uk/sport/28682804/wayne-rooney-gareth-southgate-england-euro-2024/
39,DOZEN LOOOK GOOD,Rooney reveals TWELVE blunders Southgate's made at Euros after poor start,https://www.thesun.co.uk/sport/28682804/wayne-rooney-gareth-southgate-england-euro-2024/
40,DOZEN LOOOK GOOD,Rooney reveals TWELVE blunders Southgate's made at Euros after poor start,https://www.thesun.co.uk/sport/28682804/wayne-rooney-gareth-southgate-england-euro-2024/
41,DOZEN LOOOK GOOD,Rooney reveals TWELVE blunders Southgate's made at Euros after poor start,https://www.thesun.co.uk/sport/28682804/wayne-rooney-gareth-southgate-england-euro-2024/
42,DOZEN LOOOK GOOD,Rooney reveals TWELVE blunders Southgate's made at Euros after poor start,https://www.thesun.co.uk/sport/28682804/wayne-rooney-gareth-southgate-england-euro-2024/
43,DOZEN LOOOK GOOD,Rooney reveals TWELVE blunders Southgate's made at Euros after poor start,https://www.thesun.co.uk/sport/28682804/wayne-rooney-gareth-southgate-england-euro-2024/
44,DOZEN LOOOK GOOD,Rooney reveals TWELVE blunders Southgate's made at Euros after poor start,https://www.thesun.co.uk/sport/28682804/wayne-rooney-gareth-southgate-england-euro-2024/
45,DOZEN LOOOK GOOD,Rooney reveals TWELVE blunders Southgate's made at Euros after poor start,https://www.thesun.co.uk/sport/28682804/wayne-rooney-gareth-southgate-england-euro-2024/
46,DOZEN LOOOK GOOD,Rooney reveals TWELVE blunders Southgate's made at Euros after poor start,https://www.thesun.co.uk/sport/28682804/wayne-rooney-gareth-southgate-england-euro-2024/
47,DOZEN LOOOK GOOD,Rooney reveals TWELVE blunders Southgate's made at Euros after poor start,https://www.thesun.co.uk/sport/28682804/wayne-rooney-gareth-southgate-england-euro-2024/
48,DOZEN LOOOK GOOD,Rooney reveals TWELVE blunders Southgate's made at Euros after poor start,https://www.thesun.co.uk/sport/28682804/wayne-rooney-gareth-southgate-england-euro-2024/
49,DOZEN LOOOK GOOD,Rooney reveals TWELVE blunders Southgate's made at Euros after poor start,https://www.thesun.co.uk/sport/28682804/wayne-rooney-gareth-southgate-england-euro-2024/
50,DOZEN LOOOK GOOD,Rooney reveals TWELVE blunders Southgate's made at Euros after poor start,https://www.thesun.co.uk/sport/28682804/wayne-rooney-gareth-southgate-england-euro-2024/
